"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","trstplt","trstep","trstprt","trstprl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy"
"ESS5e03_5",5,"3.5","23.11.2023",100102,"BE",1,0.7928646,0.52861917,0.41912344,3,6,3,4,1,7,7,0,7,7,8,8
"ESS5e03_5",5,"3.5","23.11.2023",100106,"BE",1,0.871107,0.52861917,0.46048385,5,3,4,5,5,5,4,3,3,3,1,8
"ESS5e03_5",5,"3.5","23.11.2023",100202,"BE",1,0.79945266,0.52861917,0.422606,5,10,5,5,5,8,10,5,5,8,8,8
"ESS5e03_5",5,"3.5","23.11.2023",100204,"BE",1,0.81602955,0.52861917,0.43136886,5,7,4,3,4,8,1,1,5,6,7,8
"ESS5e03_5",5,"3.5","23.11.2023",100209,"BE",1,0.7649024,0.52861917,0.4043421,4,4,4,4,2,9,7,5,6,8,7,9
"ESS5e03_5",5,"3.5","23.11.2023",100301,"BE",1,0.7649024,0.52861917,0.4043421,2,3,2,3,5,3,2,2,2,8,8,2
"ESS5e03_5",5,"3.5","23.11.2023",100307,"BE",1,0.80930495,0.52861917,0.42781413,8,9,9,9,6,9,5,2,6,7,8,9
"ESS5e03_5",5,"3.5","23.11.2023",100308,"BE",1,0.8534112,0.52861917,0.45112953,6,5,6,5,3,7,5,4,5,6,7,7
"ESS5e03_5",5,"3.5","23.11.2023",100309,"BE",1,0.8534112,0.52861917,0.45112953,6,7,6,7,5,7,6,4,6,7,7,7
"ESS5e03_5",5,"3.5","23.11.2023",100401,"BE",1,0.74318886,0.52861917,0.39286387,6,7,6,6,5,10,7,0,8,9,9,9
"ESS5e03_5",5,"3.5","23.11.2023",100402,"BE",1,0.74318886,0.52861917,0.39286387,5,3,3,5,6,6,6,1,5,8,8,7
"ESS5e03_5",5,"3.5","23.11.2023",100403,"BE",1,1.1179434,0.52861917,0.59096634,8,8,4,5,5,5,5,5,5,7,8,8
"ESS5e03_5",5,"3.5","23.11.2023",100405,"BE",1,0.7493641,0.52861917,0.3961282,5,8,5,6,5,6,7,2,5,8,8,7
"ESS5e03_5",5,"3.5","23.11.2023",100406,"BE",1,1.1272326,0.52861917,0.59587675,6,8,6,7,88,9,2,0,5,8,8,10
"ESS5e03_5",5,"3.5","23.11.2023",100408,"BE",1,1.1926684,0.52861917,0.6304674,3,6,5,4,6,9,6,2,5,6,6,9
"ESS5e03_5",5,"3.5","23.11.2023",100502,"BE",1,0.74318886,0.52861917,0.39286387,6,7,2,8,4,10,7,5,9,6,8,9
"ESS5e03_5",5,"3.5","23.11.2023",100503,"BE",1,1.1179434,0.52861917,0.59096634,0,3,5,3,5,8,6,5,5,8,8,10
"ESS5e03_5",5,"3.5","23.11.2023",100504,"BE",1,0.79945266,0.52861917,0.422606,3,3,3,5,5,9,7,5,5,7,8,9
"ESS5e03_5",5,"3.5","23.11.2023",100505,"BE",1,0.8605023,0.52861917,0.454878,5,4,0,0,5,4,0,0,3,8,8,5
"ESS5e03_5",5,"3.5","23.11.2023",100507,"BE",1,0.8783451,0.52861917,0.46431005,7,7,6,6,5,7,4,4,7,8,8,9
"ESS5e03_5",5,"3.5","23.11.2023",100508,"BE",1,0.7493641,0.52861917,0.3961282,3,4,3,3,5,8,5,2,4,8,8,7
